HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
684,Delayed eruption of teeth,520.2,Disturbances in tooth eruption,Pediatric,1,0
685,Hypoplasia of teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
687,Widely spaced teeth,524.3,Anomalies of tooth position/malocclusion,,0,4
689,Dental malocclusion,524.3,Anomalies of tooth position/malocclusion,,0,3
690,Agenesis of maxillary lateral incisor,520.2,Disturbances in tooth eruption,Congenital,1,0
691,Microdontia,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
692,Misalignment of teeth,524.3,Anomalies of tooth position/malocclusion,,0,0
694,Shell teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
695,Natal tooth,,-,Congenital,-,0
696,Delayed eruption of permanent teeth,520.2,Disturbances in tooth eruption,Pediatric,1,0
698,Conical tooth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
699,Diastema,524.3,Anomalies of tooth position/malocclusion,,0,0
700,Periapical radiolucency,,-,,-,0
703,Dentinogenesis imperfecta,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
704,Periodontitis,523.3,Periodontitis (acute or chronic),,0,7
705,Amelogenesis imperfecta,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
706,Unerupted tooth,520.2,Disturbances in tooth eruption,,0,2
707,Abnormality of the nervous system,,-,,-,0
708,Behavioral abnormality,,-,,-,0
709,Psychosis,295.3,Psychosis,,0,25
710,Hyperorality,,-,,-,0
711,Restlessness,,-,,-,0
712,Emotional lability,,-,,-,0
713,Agitation,300,Anxiety disorders,,0,7
716,Depression,296.2,Depression,,0,28
717,Autism,313.3,Autism,,0,9
718,Aggressive behavior,312,Conduct disorders,,0,28
719,Inappropriate behavior,,-,,-,0
720,Mood swings,,-,,-,0
721,Lack of spontaneous play,,-,,-,0
722,Obsessive-compulsive behavior,300.3,Obsessive-compulsive disorders,,0,5
723,Restrictive behavior,,-,,-,0
725,Psychotic episodes,295.3,Psychosis,,0,4
726,Dementia,290.1,Dementias,,0,55
727,Frontal lobe dementia,290.12,Dementia with cerebral degenerations,,0,3
729,Autistic behavior,313.3,Autism,,0,2
732,Inflexible adherence to routines or rituals,,-,,-,0
733,Stereotypic behavior,313.2,Tics and stuttering,,0,5
734,Disinhibition,,-,,-,0
735,Impaired social interactions,,-,,-,0
736,Short attention span,,-,,-,0
737,Irritability,,-,,-,0
738,Hallucinations,292.6,Hallucinations,,0,22
739,Anxiety,300.1,Anxiety disorder,,0,24
740,Anxiety (with pheochromocytoma),,-,,-,0
741,Apathy,,-,,-,0
742,Self-mutilation,,-,,-,0
743,Frontal release signs,,-,,-,0
744,Low frustration tolerance,,-,,-,0
746,Delusions,295.2,Paranoid disorders,,0,7
748,Inappropriate laughter,,-,,-,0
749,Paroxysmal bursts of laughter,,-,,-,0
750,Delayed speech and language development,315.2,Speech and language disorder,Pediatric,1,0
751,Personality changes,,-,,-,0
752,Hyperactivity,313.1,Attention deficit hyperactivity disorder,,0,20
756,Agoraphobia,300.12,"Agorophobia, social phobia, and panic disorder",,0,1
757,Lack of insight,,-,,-,0
758,Impaired use of nonverbal behaviors,,-,,-,0
759,Abnormal peripheral nervous system morphology,,-,,-,0
762,Decreased nerve conduction velocity,,-,,-,0
763,Sensory neuropathy,356,Hereditary and idiopathic peripheral neuropathy,,0,6
764,Peripheral axonal degeneration,356,Hereditary and idiopathic peripheral neuropathy,,0,3
765,Abnormality of the thorax,,-,,-,0
766,Abnormality of the sternum,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
767,Pectus excavatum,756.21,Pectus excavatum,Congenital,1,0
768,Pectus carinatum,756.22,Pectus carinatum,Congenital,1,0
769,Abnormality of the breast,,-,,-,0
771,Gynecomastia,612.2,Hypertrophy of breast (Gynecomastia),,0,6
772,Abnormality of the ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
773,Short ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
774,Narrow chest,,-,,-,0
775,Abnormality of the diaphragm,,-,,-,0
776,Congenital diaphragmatic hernia,756.1,Congenital anomalies of abdominal wall; diaphram,Congenital,1,0
777,Abnormality of the thymus,,-,,-,0
778,Hypoplasia of the thymus,254,Diseases of thymus gland,Congenital,1,0
782,Abnormality of the scapula,,-,,-,0
786,Primary amenorrhea,626.11,Absent or infrequent menstruation,,0,8
787,Nephrolithiasis,594.1,Calculus of kidney,,0,21
789,Infertility,,-,,-,0
790,Hematuria,593,Hematuria,,0,23
791,Uric acid nephrolithiasis,274.11,Gouty arthropathy,,0,0
793,Membranoproliferative glomerulonephritis,580.11,Proliferative glomerulonephritis,,0,2
795,Abnormality of the urethra,,-,,-,0
798,Oligospermia,609.11,Azoospermia and oligospermia,,0,1
799,Renal steatosis,586,Other disorders of the kidney and ureters,,0,2
800,Cystic renal dysplasia,586.2,"Cyst of kidney, acquired",,0,1
802,Impotence,605,Erectile dysfunction [ED],,0,5
803,Renal cortical cysts,586.2,"Cyst of kidney, acquired",,0,0
804,Xanthine nephrolithiasis,594,Urinary calculus,,0,1
805,Enuresis,313,Pervasive developmental disorders,Pediatric,1,0
807,Glandular hypospadias,751.12,Congenital anomalies of male genital organs,Congenital,1,0
808,Penoscrotal hypospadias,751.12,Congenital anomalies of male genital organs,Congenital,1,0
812,Abnormal internal genitalia,,-,,-,0
813,Bicornuate uterus,751.11,Congenital anomalies of female genital organs,Congenital,1,0
815,Hypergonadotropic hypogonadism,758.1,Chromosomal anomalies,Congenital,1,0
817,Poor eye contact,,-,,-,0
818,Abnormality of the endocrine system,,-,,-,0
819,Diabetes mellitus,250.2,Type 2 diabetes,,0,29
820,Abnormality of the thyroid gland,,-,,-,0
821,Hypothyroidism,244,Hypothyroidism,,0,23
822,Hypertension,401,Hypertension,,0,57
823,Delayed puberty,259.3,Delay in sexual development and puberty NEC,Pediatric,1,0
824,Growth hormone deficiency,253.5,Pituitary dwarfism,,0,6
825,Hyperinsulinemic hypoglycemia,251.1,Hypoglycemia,,0,3
826,Precocious puberty,259.4,Precocious sexual development and puberty NEC,Pediatric,1,0
828,Abnormality of the parathyroid gland,,-,,-,0
829,Hypoparathyroidism,252.2,Hypoparathyroidism,,0,3
830,Anterior hypopituitarism,253.2,Pituitary hypofunction,,0,1
831,Insulin-resistant diabetes mellitus,250.2,Type 2 diabetes,,0,2
832,Primary hypothyroidism,244.4,Hypothyroidism NOS,,0,1
833,Glucose intolerance,250.41,Impaired fasting glucose,,0,6
834,Abnormality of the adrenal glands,,-,,-,0
835,Adrenal hypoplasia,759.1,"Anomalies of endocrine glands, congenital",Congenital,1,0
836,Hyperthyroidism,242,Thyrotoxicosis with or without goiter,,0,1
837,Gonadotropin excess,,-,,-,0
839,Pituitary dwarfism,253.5,Pituitary dwarfism,,0,1
840,Adrenogenital syndrome,255.3,Adrenogenital disorders,Congenital,1,0
841,Hyperactive renin-angiotensin system,,-,,-,0
842,Hyperinsulinemia,251.1,Hypoglycemia,,0,5
843,Hyperparathyroidism,252.1,Hyperparathyroidism,,0,5
845,Growth hormone excess,253.11,Acromegaly and gigantism,,0,2
846,Adrenal insufficiency,255.2,Adrenal hypofunction,,0,3
848,Increased circulating renin level,,-,,-,0
851,Congenital hypothyroidism,244.5,Congenital hypothyroidism,Congenital,1,0
852,Pseudohypoparathyroidism,,-,,-,0
853,Goiter,240,Simple and unspecified goiter,,0,6
854,Thyroid adenoma,226,Benign neoplasm of thyroid glands,,0,0
855,Insulin resistance,250.2,Type 2 diabetes,,0,6
857,Neonatal insulin-dependent diabetes mellitus,250.1,Type 1 diabetes,Infantile,1,0
858,Menstrual irregularities,626.1,Irregular menstrual cycle/bleeding,,0,4
859,Hyperaldosteronism,255.12,Hyperaldosteronism,,0,8
860,Parathyroid hypoplasia,,-,Congenital,-,0
863,Central diabetes insipidus,253.3,Diabetes insipidus,,0,0
864,Abnormality of the hypothalamus-pituitary axis,,-,,-,0
866,Euthyroid multinodular goiter,241.2,Nontoxic multinodular goiter,,0,0
867,Secondary hyperparathyroidism,252.1,Hyperparathyroidism,,0,0
868,Decreased fertility in females,626.8,"Infertility, female",,0,2
869,Secondary amenorrhea,626.11,Absent or infrequent menstruation,,0,5
870,Prolactin excess,253.4,Anterior pituitary disorders,,0,1
871,Panhypopituitarism,253.2,Pituitary hypofunction,,0,1
872,Hashimoto thyroiditis,245.21,Chronic lymphocytic thyroiditis,,0,1
873,Diabetes insipidus,253.3,Diabetes insipidus,,0,4
875,Episodic hypertension,401,Hypertension,,0,1
876,Oligomenorrhea,626.11,Absent or infrequent menstruation,,0,4
877,Insulin-resistant diabetes mellitus at puberty,250.2,Type 2 diabetes,Pediatric,1,0
878,11 pairs of ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
879,Short sternum,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
882,Hypoplastic scapulae,,-,Congenital,-,0
883,Thin ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
884,Prominent sternum,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
885,Broad ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
886,Deformed rib cage,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
887,Cupped ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
888,Horizontal ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
889,Abnormality of the clavicle,,-,,-,0
890,Long clavicles,,-,,-,0
891,Cervical ribs,754,Congenital musculoskeletal deformities of spine,Congenital,1,0
892,Bifid ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
893,Bulging of the costochondral junction,733.6,Costochondritis,,0,0
894,Short clavicles,,-,,-,0
895,Lateral clavicle hook,,-,Congenital,-,0
896,Rib exostoses,726.4,Calcaneal spur; Exostosis NOS,,0,1
897,Rachitic rosary,,-,,-,0
900,Thickened ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
902,Rib fusion,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
904,Flaring of rib cage,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
905,Progressive clavicular acroosteolysis,,-,,-,0
907,Anterior rib cupping,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
910,Wide-cupped costochondral junctions,,-,,-,0
911,Flat glenoid fossa,,-,,-,0
912,Sprengel anomaly,755.4,"Congenital anomalies of upper limb, including shoulder girdle",Congenital,1,0
913,Posterior rib fusion,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
914,Shield chest,,-,Congenital,-,0
915,Pectus excavatum of inferior sternum,756.21,Pectus excavatum,Congenital,1,0
916,Broad clavicles,,-,,-,0
917,Superior pectus carinatum,756.22,Pectus carinatum,Congenital,1,0
918,Scapular exostoses,726.4,Calcaneal spur; Exostosis NOS,,0,1
920,Enlargement of the costochondral junction,,-,,-,0
921,Missing ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
922,Posterior rib cupping,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
923,Beaded ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
924,Abnormality of the skeletal system,,-,,-,0
925,Abnormality of the vertebral column,,-,,-,0
926,Platyspondyly,,-,Congenital,-,0
929,Abnormality of the skull,,-,,-,0
932,Abnormality of the posterior cranial fossa,,-,,-,0
934,Chondrocalcinosis,274.21,Chondrocalcinosis,,0,8
935,Thickened cortex of long bones,,-,,-,0
938,Osteopenia,743,"Osteoporosis, osteopenia and pathological fracture",,0,21
939,Osteoporosis,743.1,Osteoporosis,,0,31
940,Abnormal diaphysis morphology,,-,,-,0
941,Short diaphyses,,-,,-,0
943,Dysostosis multiplex,331,Other cerebral degenerations,,0,7
944,Abnormality of the metaphyses,,-,,-,0
946,Hypoplastic ilia,,-,Congenital,-,0
947,Dumbbell-shaped long bone,,-,,-,0
951,Abnormality of the skin,,-,,-,0
952,Jaundice,573.5,Jaundice (not of newborn),,0,32
953,Hyperpigmentation of the skin,694.2,Other dyschromia,,0,11
954,Single transverse palmar crease,691,Congenital anomalies of skin,Congenital,1,0
956,Acanthosis nigricans,701.6,Acquired acanthosis nigricans,,0,9
957,Cafe-au-lait spot,694.2,Other dyschromia,,0,9
958,Dry skin,706.8,Other specified diseases of sebaceous glands,,0,23
960,Sacral dimple,691,Congenital anomalies of skin,Infantile,1,0
961,Cyanosis,513.3,Hypoventilation,,0,9
962,Hyperkeratosis,701.1,"Keratoderma, acquired",,0,18
963,Thin skin,,-,,-,0
964,Eczema,939,Atopic/contact dermatitis due to other or unspecified,,0,15
965,Cutis marmorata,782.6,Pallor and flushing,,0,7
966,Hypohidrosis,705,Disorders of sweat glands,,0,11
967,Petechiae,,-,,-,0
968,Ectodermal dysplasia,691,Congenital anomalies of skin,Congenital,1,0
969,Edema,782.3,Edema,,0,18
970,Anhidrosis,705,Disorders of sweat glands,,0,4
972,Palmoplantar hyperkeratosis,691,Congenital anomalies of skin,Congenital,1,0
973,Cutis laxa,701,Other hypertrophic and atrophic conditions of skin,,0,5
974,Hyperextensible skin,,-,,-,0
975,Hyperhidrosis,705.8,Hyperhidrosis,,0,20
976,Eczematoid dermatitis,939,Atopic/contact dermatitis due to other or unspecified,,0,3
977,Soft skin,,-,,-,0
978,Bruising susceptibility,,-,,-,0
979,Purpura,,-,,-,0
980,Pallor,782.6,Pallor and flushing,,0,8
982,Palmoplantar keratoderma,691,Congenital anomalies of skin,Congenital,1,0
987,Atypical scarring of skin,701.2,Scar conditions and fibrosis of skin,,0,8
988,Skin rash,687.1,Rash and other nonspecific skin eruption,,0,14
989,Pruritus,698,Pruritus and related conditions,,0,22
991,Xanthomatosis,,-,,-,0
992,Cutaneous photosensitivity,938,Dermatitis due to solar radiation,,0,22
993,Molluscoid pseudotumors,,-,,-,0
995,Melanocytic nevus,216,Benign neoplasm of skin,,0,6
996,Facial capillary hemangioma,228.1,Hemangioma of skin and subcutaneous tissue,,0,0
997,Axillary freckling,,-,,-,0
998,Hypertrichosis,704.2,Hirsutism,,0,12
999,Pyoderma,686.5,Pyoderma,,0,2
1000,Abnormality of skin pigmentation,,-,,-,0
1002,Decreased subcutaneous fat,,-,,-,0
1003,Multiple lentigines,694.2,Other dyschromia,,0,1
1004,Lymphedema,450,Noninfectious disorders of lymphatic channels,,0,4
1006,Hypotrichosis,704.1,Alopecia,,0,2
1007,Hirsutism,704.2,Hirsutism,,0,12
1008,Accumulation of melanosomes in melanocytes,,-,,-,0
1009,Telangiectasia,448,Disease of capillaries,,0,15
1010,Hypopigmentation of the skin,694,Dyschromia and Vitiligo,,0,7
1011,Diaphoresis (with pheochromocytoma),,-,,-,0
1012,Multiple lipomas,214,Lipoma,,0,5
1013,Eruptive xanthomas,,-,,-,0
1014,Angiokeratoma,,-,,-,0
1015,Prominent superficial veins,,-,,-,0
1017,Anemic pallor,,-,,-,0
1018,Abnormal palmar dermatoglyphics,691,Congenital anomalies of skin,Congenital,1,0
1019,Erythroderma,695.9,Unspecified erythematous condition,,0,5
1022,Albinism,,-,Congenital,-,0
1024,Skin dimple over apex of long bone angulation,,-,,-,0
1025,Urticaria,947,Urticaria,,0,12
1027,"Soft, doughy skin",,-,,-,0
1028,Hemangioma,228,"Hemangioma and lymphangioma, any site",,0,4
1029,Poikiloderma,694.2,Other dyschromia,,0,6
1030,Fragile skin,,-,,-,0
1031,Subcutaneous lipoma,214.1,Lipoma of skin and subcutaneous tissue,,0,0
1032,Absent distal interphalangeal creases,,-,Congenital,-,0
1033,Facial flushing after alcohol intake,,-,,-,0
1034,Hypermelanotic macule,694.2,Other dyschromia,,0,11
1036,Parakeratosis,701.1,"Keratoderma, acquired",,0,4
1038,Warfarin-induced skin necrosis,,-,,-,0
1040,Multiple pterygia,,-,Congenital,-,0
1041,Facial erythema,695,Erythematous conditions,,0,1
1042,High axial triradius,,-,,-,0
1043,Prominent scalp veins,,-,,-,0
1045,Vitiligo,694.1,Vitiligo,,0,3
1046,Intermittent jaundice,573.5,Jaundice (not of newborn),,0,2
1047,Atopic dermatitis,939,Atopic/contact dermatitis due to other or unspecified,,0,2
1048,Cavernous hemangioma,228,"Hemangioma and lymphangioma, any site",,0,1
1050,Plethora,276.6,Fluid overload,,0,2
1051,Seborrheic dermatitis,690.1,Seborrheic dermatitis,,0,2
1052,Nevus flammeus,217.1,"Nevus, non-neoplastic",Congenital,1,0
1053,Hypopigmented skin patches,694,Dyschromia and Vitiligo,,0,3
1054,Numerous nevi,217.1,"Nevus, non-neoplastic",,0,0
1055,Erysipelas,686,Other local infections of skin and subcutaneous tissue,,0,2
1056,Milia,,-,,-,0
1057,Aplasia cutis congenita,,-,Congenital,-,0
1058,Poor wound healing,875,Non-healing surgical wound,,0,2
1059,Pterygium,,-,Congenital,-,0
1060,Axillary pterygia,,-,Congenital,-,0
1061,Acne,706.1,Acne,,0,5
1062,Atypical nevi (>5mm with irregular edge and pigmentation),217.1,"Nevus, non-neoplastic",,0,0
1063,Acrocyanosis,443.8,Other specified peripheral vascular diseases,,0,9
1065,Striae distensae,701,Other hypertrophic and atrophic conditions of skin,,0,5
1067,Neurofibromas,199.4,Neurofibromatosis,,0,1
1069,Episodic hyperhidrosis,705.8,Hyperhidrosis,,0,2
1070,Mottled pigmentation,694.2,Other dyschromia,,0,0
1071,Angiokeratoma corporis diffusum,,-,,-,0
1072,Thickened skin,,-,,-,0
1073,Cigarette-paper scars,701.2,Scar conditions and fibrosis of skin,,0,2
1074,Atypical nevi in non-sun exposed areas,217.1,"Nevus, non-neoplastic",,0,0
1075,Atrophic scars,701.2,Scar conditions and fibrosis of skin,,0,2
1076,Glabellar hemangioma,228,"Hemangioma and lymphangioma, any site",,0,0
1080,Biliary tract abnormality,,-,,-,0
1081,Cholelithiasis,574.1,Cholelithiasis,,0,15
1082,Cholecystitis,574.3,Cholecystitis without cholelithiasis,,0,7
1083,Ectopia lentis,753.1,Congenital cataract and lens anomalies,Congenital,1,0
1084,Corneal arcus,364.4,Corneal degenerations,,0,2
1085,Papilledema,377,Disorders of optic nerve and visual pathways,,0,0
1087,Congenital glaucoma,753,Congenital anomalies of the eye,Congenital,1,0
1088,Brushfield spots,,-,,-,0
1089,Iris atrophy,379.5,Disorders of iris and ciliary body,,0,0
1090,Large eyes,,-,,-,0
1092,Absent lacrimal punctum,,-,Congenital,-,0
1093,Optic nerve dysplasia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
1095,Hypertensive retinopathy,362.3,Other nondiabetic retinopathy,,0,2
1096,Keratoconjunctivitis,370.3,Keratoconjunctivitis,,0,1
1097,Keratoconjunctivitis sicca,370.31,Keratoconjunctivitis sicca,,0,4
1099,Fundus atrophy,362.7,Hereditary retinal dystrophies,,0,2
1100,Heterochromia iridis,379.51,Pigmentary iris degeneration,,0,1
1101,Iritis,379.5,Disorders of iris and ciliary body,,0,1
